サンプル 1
2018/06/17 9:37
波長 (nm)	10mm Absorbance
//WLCalib: Shift 	0.84667	
//WLCalib: 261S 	0.51000	
//WLCalib: 362S 	0.41000	
//WLCalib: 484S 	0.41000	
//WLCalib: 529S 	0.87000	
//WLCalib: 823S 	-1.93000	
//QSpecEnd: 
269.5	7.434
270.0	7.290
270.5	7.144
271.0	7.000
271.5	6.849
272.0	6.693
272.5	6.537
273.0	6.380
273.5	6.225
274.0	6.071
274.5	5.911
275.0	5.743
275.5	5.567
276.0	5.392
276.5	5.219
277.0	5.048
277.5	4.880
278.0	4.711
278.5	4.545
279.0	4.391
279.5	4.246
280.0	4.103
280.5	3.959
281.0	3.814
281.5	3.674
282.0	3.535
282.5	3.399
283.0	3.269
283.5	3.146
284.0	3.029
284.5	2.915
285.0	2.800
285.5	2.682
286.0	2.556
286.5	2.427
287.0	2.306
287.5	2.193
288.0	2.083
288.5	1.975
289.0	1.871
289.5	1.765
290.0	1.659
290.5	1.550
291.0	1.444
291.5	1.345
292.0	1.253
292.5	1.163
293.0	1.078
293.5	0.995
294.0	0.916
294.5	0.839
295.0	0.770
295.5	0.707
296.0	0.651
296.5	0.601
297.0	0.554
297.5	0.509
298.0	0.464
298.5	0.421
299.0	0.381
299.5	0.345
300.0	0.312
300.5	0.281
301.0	0.251
301.5	0.223
302.0	0.198
302.5	0.175
303.0	0.158
303.5	0.141
304.0	0.125
304.5	0.110
305.0	0.095
305.5	0.085
306.0	0.076
306.5	0.069
307.0	0.063
307.5	0.057
308.0	0.052
308.5	0.047
309.0	0.043
309.5	0.040
310.0	0.037
310.5	0.033
311.0	0.031
311.5	0.027
312.0	0.025
312.5	0.026
313.0	0.025
313.5	0.023
314.0	0.019
314.5	0.017
315.0	0.016
315.5	0.015
316.0	0.014
316.5	0.012
317.0	0.011
317.5	0.010
318.0	0.011
318.5	0.009
319.0	0.008
319.5	0.010
320.0	0.009
320.5	0.010
321.0	0.010
321.5	0.011
322.0	0.012
322.5	0.012
323.0	0.012
323.5	0.013
324.0	0.013
324.5	0.013
325.0	0.013
325.5	0.012
326.0	0.013
326.5	0.014
327.0	0.013
327.5	0.014
328.0	0.013
328.5	0.012
329.0	0.012
329.5	0.012
330.0	0.011
330.5	0.011
331.0	0.010
331.5	0.010
332.0	0.010
332.5	0.010
333.0	0.010
333.5	0.008
334.0	0.006
334.5	0.005
335.0	0.003
335.5	0.002
336.0	0.001
336.5	0.002
337.0	0.001
337.5	0.000
338.0	-0.002
338.5	0.000
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	0.001
341.0	0.003
341.5	0.004
342.0	0.004
342.5	0.005
343.0	0.006
343.5	0.007
344.0	0.005
344.5	0.005
345.0	0.007
345.5	0.009
346.0	0.010
346.5	0.011
347.0	0.010
347.5	0.009
348.0	0.009
348.5	0.007
349.0	0.007
349.5	0.008
350.0	0.009


サンプル 3
2018/06/17 9:38
波長 (nm)	10mm Absorbance
//WLCalib: Shift 	0.84667	
//WLCalib: 261S 	0.51000	
//WLCalib: 362S 	0.41000	
//WLCalib: 484S 	0.41000	
//WLCalib: 529S 	0.87000	
//WLCalib: 823S 	-1.93000	
//QSpecEnd: 
220.0	15.657
220.5	15.364
221.0	15.083
221.5	14.795
222.0	14.481
222.5	14.152
223.0	13.835
223.5	13.512
224.0	13.195
224.5	12.919
225.0	12.696
225.5	12.499
226.0	12.333
226.5	12.191
227.0	12.063
227.5	11.941
228.0	11.832
228.5	11.727
229.0	11.618
229.5	11.514
230.0	11.410
230.5	11.301
231.0	11.189
231.5	11.071
232.0	10.952
232.5	10.828
233.0	10.706
233.5	10.587
234.0	10.473
234.5	10.369
235.0	10.274
235.5	10.186
236.0	10.104
236.5	10.029
237.0	9.951
237.5	9.870
238.0	9.792
238.5	9.716
239.0	9.646
239.5	9.582
240.0	9.531
240.5	9.482
241.0	9.434
241.5	9.384
242.0	9.322
242.5	9.256
243.0	9.192
243.5	9.127
244.0	9.065
244.5	9.005
245.0	8.947
245.5	8.894
246.0	8.838
246.5	8.788
247.0	8.740
247.5	8.688
248.0	8.643
248.5	8.604
249.0	8.567
249.5	8.536
250.0	8.506
250.5	8.473
251.0	8.441
251.5	8.414
252.0	8.390
252.5	8.371
253.0	8.348
253.5	8.335
254.0	8.317
254.5	8.304
255.0	8.291
255.5	8.270
256.0	8.249
256.5	8.225
257.0	8.201
257.5	8.184
258.0	8.164
258.5	8.144
259.0	8.124
259.5	8.103
260.0	8.079
260.5	8.057
261.0	8.028
261.5	7.999
262.0	7.965
262.5	7.921
263.0	7.874
263.5	7.815
264.0	7.749
264.5	7.683
265.0	7.612
265.5	7.544
266.0	7.477
266.5	7.407
267.0	7.327
267.5	7.244
268.0	7.161
268.5	7.083
269.0	7.009
269.5	6.931
270.0	6.851
270.5	6.771
271.0	6.692
271.5	6.611
272.0	6.525
272.5	6.436
273.0	6.344
273.5	6.254
274.0	6.163
274.5	6.065
275.0	5.963
275.5	5.852
276.0	5.741
276.5	5.627
277.0	5.513
277.5	5.397
278.0	5.277
278.5	5.157
279.0	5.041
279.5	4.931
280.0	4.819
280.5	4.702
281.0	4.581
281.5	4.461
282.0	4.339
282.5	4.214
283.0	4.091
283.5	3.970
284.0	3.850
284.5	3.731
285.0	3.608
285.5	3.480
286.0	3.339
286.5	3.191
287.0	3.046
287.5	2.908
288.0	2.773
288.5	2.640
289.0	2.509
289.5	2.374
290.0	2.238
290.5	2.099
291.0	1.962
291.5	1.837
292.0	1.721
292.5	1.606
293.0	1.496
293.5	1.393
294.0	1.292
294.5	1.196
295.0	1.111
295.5	1.034
296.0	0.965
296.5	0.901
297.0	0.844
297.5	0.787
298.0	0.730
298.5	0.676
299.0	0.626
299.5	0.579
300.0	0.537
300.5	0.496
301.0	0.455
301.5	0.418
302.0	0.383
302.5	0.351
303.0	0.324
303.5	0.297
304.0	0.274
304.5	0.251
305.0	0.231
305.5	0.214
306.0	0.199
306.5	0.184
307.0	0.174
307.5	0.162
308.0	0.152
308.5	0.142
309.0	0.134
309.5	0.126
310.0	0.120
310.5	0.113
311.0	0.107
311.5	0.102
312.0	0.097
312.5	0.094
313.0	0.090
313.5	0.085
314.0	0.080
314.5	0.075
315.0	0.071
315.5	0.069
316.0	0.066
316.5	0.062
317.0	0.060
317.5	0.058
318.0	0.055
318.5	0.052
319.0	0.049
319.5	0.047
320.0	0.044
320.5	0.043
321.0	0.040
321.5	0.039
322.0	0.039
322.5	0.037
323.0	0.035
323.5	0.034
324.0	0.034
324.5	0.033
325.0	0.032
325.5	0.031
326.0	0.031
326.5	0.031
327.0	0.030
327.5	0.030
328.0	0.029
328.5	0.029
329.0	0.029
329.5	0.028
330.0	0.026
330.5	0.024
331.0	0.023
331.5	0.022
332.0	0.021
332.5	0.019
333.0	0.018
333.5	0.018
334.0	0.015
334.5	0.013
335.0	0.012
335.5	0.010
336.0	0.010
336.5	0.009
337.0	0.006
337.5	0.005
338.0	0.004
338.5	0.004
339.0	0.003
339.5	0.003
340.0	0.000
340.5	-0.001
341.0	-0.002
341.5	-0.002
342.0	-0.002
342.5	-0.003
343.0	-0.005
343.5	-0.006
344.0	-0.009
344.5	-0.008
345.0	-0.008
345.5	-0.007
346.0	-0.007
346.5	-0.009
347.0	-0.011
347.5	-0.011
348.0	-0.010
348.5	-0.011
349.0	-0.012
349.5	-0.011
350.0	-0.013


サンプル 4
2018/06/17 9:39
波長 (nm)	10mm Absorbance
//WLCalib: Shift 	0.84667	
//WLCalib: 261S 	0.51000	
//WLCalib: 362S 	0.41000	
//WLCalib: 484S 	0.41000	
//WLCalib: 529S 	0.87000	
//WLCalib: 823S 	-1.93000	
//QSpecEnd: 
220.0	20.195
220.5	19.867
221.0	19.535
221.5	19.271
222.0	18.986
222.5	18.599
223.0	18.209
223.5	17.861
224.0	17.490
224.5	17.181
225.0	16.907
225.5	16.671
226.0	16.446
226.5	16.242
227.0	16.048
227.5	15.876
228.0	15.720
228.5	15.546
229.0	15.362
229.5	15.158
230.0	14.973
230.5	14.766
231.0	14.542
231.5	14.308
232.0	14.048
232.5	13.787
233.0	13.522
233.5	13.259
234.0	12.999
234.5	12.743
235.0	12.502
235.5	12.268
236.0	12.033
236.5	11.792
237.0	11.545
237.5	11.283
238.0	11.024
238.5	10.776
239.0	10.548
239.5	10.343
240.0	10.154
240.5	9.971
241.0	9.780
241.5	9.582
242.0	9.356
242.5	9.107
243.0	8.860
243.5	8.624
244.0	8.399
244.5	8.187
245.0	7.979
245.5	7.775
246.0	7.571
246.5	7.371
247.0	7.180
247.5	6.991
248.0	6.813
248.5	6.652
249.0	6.501
249.5	6.355
250.0	6.207
250.5	6.049
251.0	5.894
251.5	5.745
252.0	5.606
252.5	5.485
253.0	5.380
253.5	5.292
254.0	5.217
254.5	5.147
255.0	5.084
255.5	5.024
256.0	4.979
256.5	4.940
257.0	4.908
257.5	4.884
258.0	4.864
258.5	4.850
259.0	4.837
259.5	4.827
260.0	4.815
260.5	4.805
261.0	4.796
261.5	4.787
262.0	4.782
262.5	4.776
263.0	4.770
263.5	4.758
264.0	4.747
264.5	4.741
265.0	4.737
265.5	4.737
266.0	4.737
266.5	4.740
267.0	4.741
267.5	4.744
268.0	4.745
268.5	4.749
269.0	4.751
269.5	4.753
270.0	4.754
270.5	4.754
271.0	4.756
271.5	4.756
272.0	4.756
272.5	4.750
273.0	4.742
273.5	4.731
274.0	4.718
274.5	4.702
275.0	4.684
275.5	4.662
276.0	4.637
276.5	4.607
277.0	4.571
277.5	4.528
278.0	4.484
278.5	4.436
279.0	4.388
279.5	4.337
280.0	4.283
280.5	4.221
281.0	4.156
281.5	4.083
282.0	4.008
282.5	3.927
283.0	3.842
283.5	3.754
284.0	3.665
